species,genus,phylum,gene_target,hit_count,best_accession,best_title,query
Virgibacillus ndiopensis,Virgibacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Virgibacillus ndiopensis""[Organism]"
Brachybacterium paraconglomeratum,Brachybacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Brachybacterium paraconglomeratum""[Organism]"
Anaerococcus prevotii,Anaerococcus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Anaerococcus prevotii""[Organism]"
Limosilactobacillus portuensis,Limosilactobacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Limosilactobacillus portuensis""[Organism]"
Ruoffia halotolerans,Ruoffia,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Ruoffia halotolerans""[Organism]"
Lactobacillus gasseri,Lactobacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Lactobacillus gasseri""[Organism]"
Aerococcus urinaeequi,Aerococcus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Aerococcus urinaeequi""[Organism]"
Brevibacterium metallicus,Brevibacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Brevibacterium metallicus""[Organism]"
Enterococcus innesii,Enterococcus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Enterococcus innesii""[Organism]"
Ligilactobacillus aviarius,Ligilactobacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Ligilactobacillus aviarius""[Organism]"
Jeotgalicoccus schoeneichii,Jeotgalicoccus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Jeotgalicoccus schoeneichii""[Organism]"
Anaerococcus marasmi,Anaerococcus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Anaerococcus marasmi""[Organism]"
Companilactobacillus farciminis,Companilactobacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Companilactobacillus farciminis""[Organism]"
Limosilactobacillus balticus,Limosilactobacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Limosilactobacillus balticus""[Organism]"
Ornithinibacillus caprae,Ornithinibacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Ornithinibacillus caprae""[Organism]"
Anaerococcus mediterraneensis,Anaerococcus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Anaerococcus mediterraneensis""[Organism]"
Ligilactobacillus agilis,Ligilactobacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Ligilactobacillus agilis""[Organism]"
Salinicoccus qingdaonensis,Salinicoccus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Salinicoccus qingdaonensis""[Organism]"
Lentibacillus massiliensis,Lentibacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Lentibacillus massiliensis""[Organism]"
Ammoniphilus oxalivorans,Ammoniphilus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Ammoniphilus oxalivorans""[Organism]"
Mammaliicoccus sciuri,Mammaliicoccus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Mammaliicoccus sciuri""[Organism]"
Limosilactobacillus urinaemulieris,Limosilactobacillus,Firmicutes,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Limosilactobacillus urinaemulieris""[Organism]"
Nocardiopsis flavescens,Nocardiopsis,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Nocardiopsis flavescens""[Organism]"
Brachybacterium kimchii,Brachybacterium,Actinobacteria,amoA_AOB,0,,,"(""amoA""[Title] OR ""ammonia monooxygenase subunit A""[Title]) AND ""Brachybacterium kimchii""[Organism]"
