"Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Pseudonocardiales","Pseudonocardiaceae","Prauserella","Prauserella isguenensis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Pseudarthrobacter","Pseudarthrobacter defluvii"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis pigmentata"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Bacillaceae","Lentibacillus","Lentibacillus juripiscarius"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus caccae"
"Bacteria","Bacteria_none","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalicoccus","Faecalicoccus pleomorphus"
"Bacteria","Bacteria_none","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium neonatale"
"Bacteria","Bacteria_none","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium indicum"
"Bacteria","Bacteria_none","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium butyricum"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Bacillaceae","Lysinibacillus","Lysinibacillus antri"
"Bacteria","Bacteria_none","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium felsineum"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Bacillaceae","Lysinibacillus","Lysinibacillus fusiformis"
"Bacteria","Bacteria_none","Proteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Psychrobacter","Psychrobacter sanguinis"
"Bacteria","Bacteria_none","Firmicutes","Erysipelotrichia","Erysipelotrichales","Turicibacteraceae","Turicibacter","Turicibacter sanguinis"
"Bacteria","Bacteria_none","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium cadaveris"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Bacillaceae","Peribacillus","Peribacillus alkalitolerans"
"Bacteria","Bacteria_none","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Enorma","Enorma shizhengliae"
"Bacteria","Bacteria_none","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Pusillimonas","Pusillimonas soli"
"Bacteria","Bacteria_none","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Afipia","Afipia carboxidovorans"
"Bacteria","Bacteria_none","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Nitrosococcus","Nitrosococcus oceani"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus pseudintermedius"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Streptosporangiales","Thermomonosporaceae","Actinomadura","Actinomadura fulvescens"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Leucobacter","Leucobacter denitrificans"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Corynebacteriales","Mycobacteriaceae","Mycolicibacter","Mycolicibacter kumamotonensis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Leucobacter","Leucobacter aridicollis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Streptosporangiales","Thermomonosporaceae","Actinoallomurus","Actinoallomurus spadix"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Bacillaceae","Virgibacillus","Virgibacillus proomii"
"Bacteria","Bacteria_none","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Parapusillimonas","Parapusillimonas granuli"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus susongensis"
"Bacteria","Bacteria_none","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Microvirga","Microvirga massiliensis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Corynebacteriales","Mycobacteriaceae","Mycolicibacterium","Mycolicibacterium lutetiense"
"Bacteria","Bacteria_none","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus haematequi"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus marinonascens"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Kroppenstedtia","Kroppenstedtia sanguinis"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Planococcaceae","Bhargavaea","Bhargavaea beijingensis"
