species,mismatch_count_fwd,mismatch_count_rev,amplicon_length,status,boundary_irregular
Bacillus stratosphericus,7,8,,insufficient_sequence,True
Bacillus toyonensis,10,10,,no_match_both,False
Cytobacillus firmus,10,8,,no_match_both,False
Bacillus wiedmannii,10,10,,no_match_both,False
Bacillus massilionigeriensis,10,9,,no_match_both,False
Compostibacillus humi,9,9,,no_match_both,False
Mesobacillus jeotgali,10,7,,no_match_both,False
Mesobacillus thioparans,9,9,,no_match_both,False
Sphaerobacter thermophilus,8,8,,no_match_both,False
Kaistella treverensis,8,9,,no_match_both,False
Gelidibacter pelagius,10,8,,no_match_both,False
Pontibacter virosus,9,8,,no_match_both,False
Pontibacter flavimaris,9,8,,no_match_both,False
Peribacillus loiseleuriae,9,9,,no_match_both,False
Bacillus badius,10,10,,no_match_both,False
Alkalihalobacterium elongatum,10,9,,no_match_both,False
Bacillus proteolyticus,10,10,,no_match_both,False
